name,availabilityVendorId,ordersVendorId
"Vegetables and Fruits Kayan, El Sheikh Zayed - El Hay 13",766056,60958
"Vegetables & Fruits – Nagmet Salah El Din, Heliopolis - Ismailia Square",773162,61716
"United Pharmacy, New Maadi - Palestine Square",788834,64659
"Twenty One, Tagammoa 5 - South Investors",765999,60885
"Twenty One, Madinaty - Work Shops",733368,44289
"Trolly Hyper, 5th District",781991,63627
"Tranzit Hyper, Ahmed Maher",755737,59451
"Top Pet, El Shorouk - City Center",768613,61153
"Top Pet, El Obour - El Hay 3",768997,61154
"Top One Market, Mokattam - El Andalus-1",724934,39866
"TOP MARKET,El Sheikh Zayed - El Hay 1",653284,15884
"Tiba Pharmacy, Hadayek El Ahram - Area A",760749,60400
"Therapy Pharmacy, Msaken Masna' Seed",787087,64483
"Theka Pharmacy, Nasr City - Hay 8",758432,60106
"The Pet Show, Louran",784269,63897
"THE OASIS, 6th of October - Teba Gardens",781509,63570
"The Mart, Tagammoa 5 - Emaar Mivida",731006,42781
"The Mart, Madinaty - Buildings Area (B8)",713927,27954
"The Grove Market, Tagammoa 5 - South Investors",743901,50607
"The Grove Market, El Sheikh Zayed - Nile University",729154,41859
"The Grove Market, 6th of October - Zewail City",765827,61079
"The Grocer, Zamalek - 26 July",722761,41135
"the grocer, Tagammoa 5 - Hay 4",765944,63246
"The Grocer, Tagammoa 5 - Fountain Park",780466,64059
"The Grocer, New Maadi - Degla",722762,39899
"The Grocer, Marhaba Beach Village",733700,44564
The Grocer - Garden 8,687372,41419
"The Big Market, Sayyeda Aisha",691458,18804
"The Best Market, Ard El Golf",660046,15883
"Tharwat Pharmacy ,Madinet El Salam",718836,32969
"Tazza Vegetables And Fruits, Saad Zaghloul",784924,63921
"Taza Market, Glim",655309,15882
"Taza Hypermarket, Zahraa El Maadi - Ashgar Darna",760473,60379
"Tawfik Pharmacies, Ard El Golf",701893,19922
"tasty fast food,10th of Ramadan - 13th District",758349,59935
"Tarshouby Pharmacy, Wast Al Balad",727739,42782
"Tarshouby Pharmacy, Tanta",727737,40931
"Tarshouby Pharmacy, Madinaty - Villas Area (V5)",758757,60100
"Tarshouby Pharmacy, El Magzar",727669,40857
"Tarshouby Pharmacy, Al Manakh District",727738,40955
"Tarshouby Pharmacy, 1st District",730640,42810
"Tarshoubi Pharmacy, Taksim 4",788726,64686
"Tarshoubi Pharmacy, Camp Chezar",779465,63398
"Tariq Supermarket, Ezbet El Shal",767762,61078
"Tarek Helmi Pharmacy, El Bahr Street - Qesm Thany",723698,38877
"Tarek Abdel Aziz Pharmacy, Faisal - El Ta'awon",758854,60139
"Tairah, Sidi Yassin",697562,19302
"Taha Pharmacy, New Maadi - Al Sarayaat",731484,43199
"Taha Pharmacy, Giza - El Omraneya El Sharqiya",764746,60730
"Tag El Din Pharmacy, Tagammoa 5 - El Lotus El Shamaleya",764773,60776
"Tag El Din Pharmacy, Tagammoa 5 - 90 St. Companies",718884,33134
"Tag El Din Pharmacy, Tagammoa 5 -  90 St. Companies",764774,60775
"Tag El Din Pharmacy, Ard El Golf 2",718872,32970
"Tadros Pharmacy, Assiut University",783811,63851
"Tadawy Pharmacies, Zamalek - Gezira Club",779639,63346
"Tadawy Pharmacies, El Sheikh Zayed",750412,56928
